provincia,canton,cod_parroquia,parroquia,ym,cluster_id,total_eventos
AZUAY,CAMILO PONCE ENRIQUEZ,11550,"CAMILO PONCE ENRIQUEZ, CABECERA CANTONAL",2025-06,1,7
AZUAY,CAMILO PONCE ENRIQUEZ,11550,"CAMILO PONCE ENRIQUEZ, CABECERA CANTONAL",2025-07,1,5
AZUAY,CUENCA,10150,"CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.",2025-01,2,116
AZUAY,CUENCA,10150,"CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.",2025-02,2,123
AZUAY,CUENCA,10150,"CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.",2025-03,2,131
AZUAY,CUENCA,10150,"CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.",2025-04,2,141
AZUAY,CUENCA,10150,"CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.",2025-05,2,160
AZUAY,CUENCA,10150,"CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.",2025-06,2,148
AZUAY,CUENCA,10150,"CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.",2025-07,2,143
AZUAY,CUENCA,10150,"CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.",2025-08,2,171
AZUAY,CUENCA,10150,"CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.",2025-09,2,161
AZUAY,CUENCA,10150,"CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.",2025-10,2,164
AZUAY,CUENCA,10151,BANOS,2025-01,1,5
AZUAY,CUENCA,10151,BANOS,2025-02,1,7
AZUAY,CUENCA,10151,BANOS,2025-04,1,5
AZUAY,CUENCA,10151,BANOS,2025-05,1,6
AZUAY,CUENCA,10151,BANOS,2025-06,1,7
AZUAY,CUENCA,10151,BANOS,2025-07,1,10
AZUAY,CUENCA,10151,BANOS,2025-10,1,6
AZUAY,CUENCA,10162,RICAURTE,2025-01,1,5
AZUAY,CUENCA,10162,RICAURTE,2025-03,1,6
AZUAY,CUENCA,10162,RICAURTE,2025-05,1,7
AZUAY,CUENCA,10162,RICAURTE,2025-08,1,6
AZUAY,CUENCA,10162,RICAURTE,2025-09,1,6
AZUAY,CUENCA,10165,SAYAUSI,2025-08,1,5
AZUAY,CUENCA,10167,SININCAY,2025-06,1,5
AZUAY,CUENCA,10167,SININCAY,2025-10,1,6
AZUAY,CUENCA,10169,TURI,2025-02,1,6
AZUAY,CUENCA,10169,TURI,2025-04,1,5
AZUAY,CUENCA,10170,VALLE,2025-01,1,5
AZUAY,CUENCA,10170,VALLE,2025-03,1,5
AZUAY,CUENCA,10170,VALLE,2025-07,1,5
AZUAY,CUENCA,10170,VALLE,2025-08,1,5
AZUAY,GUALACEO,10350,"GUALACEO, CABECERA CANTONAL",2025-01,1,7
AZUAY,GUALACEO,10350,"GUALACEO, CABECERA CANTONAL",2025-02,1,7
AZUAY,GUALACEO,10350,"GUALACEO, CABECERA CANTONAL",2025-05,1,5
AZUAY,GUALACEO,10350,"GUALACEO, CABECERA CANTONAL",2025-06,1,5
AZUAY,GUALACEO,10350,"GUALACEO, CABECERA CANTONAL",2025-10,1,5
AZUAY,NABON,10450,"NABON, CABECERA CANTONAL",2025-07,1,5
AZUAY,SANTA ISABEL,10850,"SANTA ISABEL (CHAGUARURCO), CABECERA CANTONAL",2025-01,1,5
BOLIVAR,CALUMA,20650,"CALUMA, CABECERA CANTONAL",2025-05,1,10
BOLIVAR,CALUMA,20650,"CALUMA, CABECERA CANTONAL",2025-07,1,5
BOLIVAR,CALUMA,20650,"CALUMA, CABECERA CANTONAL",2025-08,1,5
BOLIVAR,ECHEANDIA,20450,"ECHEANDIA, CABECERA CANTONAL",2025-01,1,9
BOLIVAR,ECHEANDIA,20450,"ECHEANDIA, CABECERA CANTONAL",2025-02,1,6
BOLIVAR,ECHEANDIA,20450,"ECHEANDIA, CABECERA CANTONAL",2025-03,1,8
BOLIVAR,ECHEANDIA,20450,"ECHEANDIA, CABECERA CANTONAL",2025-06,1,8
BOLIVAR,ECHEANDIA,20450,"ECHEANDIA, CABECERA CANTONAL",2025-07,1,6
BOLIVAR,ECHEANDIA,20450,"ECHEANDIA, CABECERA CANTONAL",2025-09,1,5
BOLIVAR,ECHEANDIA,20450,"ECHEANDIA, CABECERA CANTONAL",2025-10,1,5
BOLIVAR,GUARANDA,20150,"GUARANDA, CABECERA CANTONAL Y CAPITAL PROVINCIAL",2025-01,1,7
BOLIVAR,GUARANDA,20150,"GUARANDA, CABECERA CANTONAL Y CAPITAL PROVINCIAL",2025-02,1,23
BOLIVAR,GUARANDA,20150,"GUARANDA, CABECERA CANTONAL Y CAPITAL PROVINCIAL",2025-03,2,28
BOLIVAR,GUARANDA,20150,"GUARANDA, CABECERA CANTONAL Y CAPITAL PROVINCIAL",2025-04,1,12
BOLIVAR,GUARANDA,20150,"GUARANDA, CABECERA CANTONAL Y CAPITAL PROVINCIAL",2025-05,2,19
BOLIVAR,GUARANDA,20150,"GUARANDA, CABECERA CANTONAL Y CAPITAL PROVINCIAL",2025-06,1,12
BOLIVAR,GUARANDA,20150,"GUARANDA, CABECERA CANTONAL Y CAPITAL PROVINCIAL",2025-07,1,9
BOLIVAR,GUARANDA,20150,"GUARANDA, CABECERA CANTONAL Y CAPITAL PROVINCIAL",2025-08,1,14
BOLIVAR,GUARANDA,20150,"GUARANDA, CABECERA CANTONAL Y CAPITAL PROVINCIAL",2025-09,1,9
BOLIVAR,GUARANDA,20150,"GUARANDA, CABECERA CANTONAL Y CAPITAL PROVINCIAL",2025-10,1,16
BOLIVAR,SAN MIGUEL,20550,"SAN MIGUEL, CABECERA CANTONAL",2025-03,1,6
BOLIVAR,SAN MIGUEL,20550,"SAN MIGUEL, CABECERA CANTONAL",2025-07,1,5
CANAR,AZOGUES,30150,"AZOGUES, CABECERA CANTONAL Y CAPITAL PROVINCIAL",2025-01,1,20
CANAR,AZOGUES,30150,"AZOGUES, CABECERA CANTONAL Y CAPITAL PROVINCIAL",2025-02,1,19
CANAR,AZOGUES,30150,"AZOGUES, CABECERA CANTONAL Y CAPITAL PROVINCIAL",2025-03,1,21
CANAR,AZOGUES,30150,"AZOGUES, CABECERA CANTONAL Y CAPITAL PROVINCIAL",2025-04,2,28
CANAR,AZOGUES,30150,"AZOGUES, CABECERA CANTONAL Y CAPITAL PROVINCIAL",2025-05,2,27
CANAR,AZOGUES,30150,"AZOGUES, CABECERA CANTONAL Y CAPITAL PROVINCIAL",2025-06,2,28
CANAR,AZOGUES,30150,"AZOGUES, CABECERA CANTONAL Y CAPITAL PROVINCIAL",2025-07,1,14
CANAR,AZOGUES,30150,"AZOGUES, CABECERA CANTONAL Y CAPITAL PROVINCIAL",2025-08,1,24
CANAR,AZOGUES,30150,"AZOGUES, CABECERA CANTONAL Y CAPITAL PROVINCIAL",2025-09,2,26
CANAR,AZOGUES,30150,"AZOGUES, CABECERA CANTONAL Y CAPITAL PROVINCIAL",2025-10,2,22
CANAR,AZOGUES,30154,JAVIER LOYOLA (CHUQUIPATA),2025-03,1,7
CANAR,AZOGUES,30154,JAVIER LOYOLA (CHUQUIPATA),2025-08,1,5
CANAR,AZOGUES,30154,JAVIER LOYOLA (CHUQUIPATA),2025-10,1,5
CANAR,BIBLIAN,30250,"BIBLIAN, CABECERA CANTONAL",2025-08,1,9
CANAR,CANAR,30350,"CANAR, CABECERA CANTONAL",2025-05,1,5
CANAR,CANAR,30350,"CANAR, CABECERA CANTONAL",2025-06,1,9
CANAR,LA TRONCAL,30450,"LA TRONCAL, CABECERA CANTONAL",2025-01,1,20
CANAR,LA TRONCAL,30450,"LA TRONCAL, CABECERA CANTONAL",2025-02,1,22
CANAR,LA TRONCAL,30450,"LA TRONCAL, CABECERA CANTONAL",2025-03,1,14
CANAR,LA TRONCAL,30450,"LA TRONCAL, CABECERA CANTONAL",2025-04,2,21
CANAR,LA TRONCAL,30450,"LA TRONCAL, CABECERA CANTONAL",2025-05,2,33
CANAR,LA TRONCAL,30450,"LA TRONCAL, CABECERA CANTONAL",2025-06,2,31
CANAR,LA TRONCAL,30450,"LA TRONCAL, CABECERA CANTONAL",2025-07,2,22
CANAR,LA TRONCAL,30450,"LA TRONCAL, CABECERA CANTONAL",2025-08,2,26
CANAR,LA TRONCAL,30450,"LA TRONCAL, CABECERA CANTONAL",2025-09,2,24
CANAR,LA TRONCAL,30450,"LA TRONCAL, CABECERA CANTONAL",2025-10,1,16
CARCHI,MONTUFAR,40550,"SAN GABRIEL, CABECERA CANTONAL",2025-01,1,5
CARCHI,MONTUFAR,40550,"SAN GABRIEL, CABECERA CANTONAL",2025-02,1,5
CARCHI,MONTUFAR,40550,"SAN GABRIEL, CABECERA CANTONAL",2025-03,1,5
CARCHI,MONTUFAR,40550,"SAN GABRIEL, CABECERA CANTONAL",2025-04,1,8
CARCHI,MONTUFAR,40550,"SAN GABRIEL, CABECERA CANTONAL",2025-06,1,8
CARCHI,MONTUFAR,40550,"SAN GABRIEL, CABECERA CANTONAL",2025-07,1,7
CARCHI,MONTUFAR,40550,"SAN GABRIEL, CABECERA CANTONAL",2025-08,1,5
CARCHI,SAN PEDRO DE HUACA,40650,"HUACA, CABECERA CANTONAL",2025-01,1,5
CARCHI,TULCAN,40150,"TULCAN, CABECERA CANTONAL Y CAPITAL PROVINCIAL",2025-01,2,43
CARCHI,TULCAN,40150,"TULCAN, CABECERA CANTONAL Y CAPITAL PROVINCIAL",2025-02,2,36
CARCHI,TULCAN,40150,"TULCAN, CABECERA CANTONAL Y CAPITAL PROVINCIAL",2025-03,2,39
CARCHI,TULCAN,40150,"TULCAN, CABECERA CANTONAL Y CAPITAL PROVINCIAL",2025-04,2,33
CARCHI,TULCAN,40150,"TULCAN, CABECERA CANTONAL Y CAPITAL PROVINCIAL",2025-05,2,29
CARCHI,TULCAN,40150,"TULCAN, CABECERA CANTONAL Y CAPITAL PROVINCIAL",2025-06,2,44
CARCHI,TULCAN,40150,"TULCAN, CABECERA CANTONAL Y CAPITAL PROVINCIAL",2025-07,2,27
CARCHI,TULCAN,40150,"TULCAN, CABECERA CANTONAL Y CAPITAL PROVINCIAL",2025-08,2,35
CARCHI,TULCAN,40150,"TULCAN, CABECERA CANTONAL Y CAPITAL PROVINCIAL",2025-09,2,36
