cod_parroquia,provincia,canton,parroquia,direccion_busqueda,lat,lon
010150,AZUAY,CUENCA,CUENCA,"CUENCA, CUENCA, AZUAY, Ecuador",-2.9001285,-79.00589649999999
010150,AZUAY,CUENCA,CUENCA,"CUENCA, CUENCA, AZUAY, Ecuador",-2.9001285,-79.00589649999999
010150,AZUAY,CUENCA,CUENCA,"CUENCA, CUENCA, AZUAY, Ecuador",-2.9001285,-79.00589649999999
010150,AZUAY,CUENCA,CUENCA,"CUENCA, CUENCA, AZUAY, Ecuador",-2.9001285,-79.00589649999999
010150,AZUAY,CUENCA,CUENCA,"CUENCA, CUENCA, AZUAY, Ecuador",-2.9001285,-79.00589649999999
010150,AZUAY,CUENCA,CUENCA,"CUENCA, CUENCA, AZUAY, Ecuador",-2.9001285,-79.00589649999999
010150,AZUAY,CUENCA,CUENCA,"CUENCA, CUENCA, AZUAY, Ecuador",-2.9001285,-79.00589649999999
010150,AZUAY,CUENCA,CUENCA,"CUENCA, CUENCA, AZUAY, Ecuador",-2.9001285,-79.00589649999999
010150,AZUAY,CUENCA,CUENCA,"CUENCA, CUENCA, AZUAY, Ecuador",-2.9001285,-79.00589649999999
010150,AZUAY,CUENCA,CUENCA,"CUENCA, CUENCA, AZUAY, Ecuador",-2.9001285,-79.00589649999999
010150,AZUAY,CUENCA,CUENCA,"CUENCA, CUENCA, AZUAY, Ecuador",-2.9001285,-79.00589649999999
010150,AZUAY,CUENCA,CUENCA,"CUENCA, CUENCA, AZUAY, Ecuador",-2.9001285,-79.00589649999999
010150,AZUAY,CUENCA,CUENCA,"CUENCA, CUENCA, AZUAY, Ecuador",-2.9001285,-79.00589649999999
010150,AZUAY,CUENCA,CUENCA,"CUENCA, CUENCA, AZUAY, Ecuador",-2.9001285,-79.00589649999999
010150,AZUAY,CUENCA,CUENCA,"CUENCA, CUENCA, AZUAY, Ecuador",-2.9001285,-79.00589649999999
010151,AZUAY,CUENCA,BAÑOS,"BAÑOS, CUENCA, AZUAY, Ecuador",-2.923468,-79.066101
010152,AZUAY,CUENCA,CUMBE,"CUMBE, CUENCA, AZUAY, Ecuador",-3.0902132,-79.0079949
010153,AZUAY,CUENCA,CHAUCHA,"CHAUCHA, CUENCA, AZUAY, Ecuador",-2.9465255,-79.4028639
010154,AZUAY,CUENCA,CHECA,"CHECA, CUENCA, AZUAY, Ecuador",-2.805088,-78.9929411
010155,AZUAY,CUENCA,CHIQUINTAD,"CHIQUINTAD, CUENCA, AZUAY, Ecuador",-2.813526,-79.00347099999999
010156,AZUAY,CUENCA,LLACAO,"LLACAO, CUENCA, AZUAY, Ecuador",-2.8663861,-78.885453
010157,AZUAY,CUENCA,MOLLETURO,"MOLLETURO, CUENCA, AZUAY, Ecuador",-2.767106,-79.397369
010158,AZUAY,CUENCA,NULTI,"NULTI, CUENCA, AZUAY, Ecuador",-2.916667,-78.85
010159,AZUAY,CUENCA,OCTAVIO CORDERO PALACIOS,"OCTAVIO CORDERO PALACIOS, CUENCA, AZUAY, Ecuador",-2.7707342,-78.9684177
010160,AZUAY,CUENCA,PACCHA,"PACCHA, CUENCA, AZUAY, Ecuador",-2.8977646,-78.9344814
010161,AZUAY,CUENCA,QUINGEO,"QUINGEO, CUENCA, AZUAY, Ecuador",-3.031959,-78.93174
010162,AZUAY,CUENCA,RICAURTE,"RICAURTE, CUENCA, AZUAY, Ecuador",-2.863187,-78.964005
010163,AZUAY,CUENCA,SAN JOAQUÍN,"SAN JOAQUÍN, CUENCA, AZUAY, Ecuador",-2.894921,-79.0504459
010164,AZUAY,CUENCA,SANTA ANA,"SANTA ANA, CUENCA, AZUAY, Ecuador",-2.940174,-78.920029
010165,AZUAY,CUENCA,SAYAUSÍ,"SAYAUSÍ, CUENCA, AZUAY, Ecuador",-2.7873716,-79.17742679999999
010166,AZUAY,CUENCA,SIDCAY,"SIDCAY, CUENCA, AZUAY, Ecuador",-2.8196794,-78.9684177
010167,AZUAY,CUENCA,SININCAY,"SININCAY, CUENCA, AZUAY, Ecuador",-2.8495082,-79.01364749999999
010168,AZUAY,CUENCA,TARQUI,"TARQUI, CUENCA, AZUAY, Ecuador",-3.0125451,-79.0392904
010169,AZUAY,CUENCA,TURI,"TURI, CUENCA, AZUAY, Ecuador",-2.9541252,-78.9776912
010170,AZUAY,CUENCA,VALLE,"VALLE, CUENCA, AZUAY, Ecuador",-2.9520325,-78.9627624
010171,AZUAY,CUENCA,VICTORIA DEL PORTETE,"VICTORIA DEL PORTETE, CUENCA, AZUAY, Ecuador",-3.062896,-79.066052
010250,AZUAY,GIRÓN,GIRÓN,"GIRÓN, GIRÓN, AZUAY, Ecuador",-3.1600707,-79.1479657
010251,AZUAY,GIRÓN,LA ASUNCIÓN,"LA ASUNCIÓN, GIRÓN, AZUAY, Ecuador",-3.2106556,-79.2585058
010252,AZUAY,GIRÓN,SAN GERARDO,"SAN GERARDO, GIRÓN, AZUAY, Ecuador",-3.1317706,-79.2112769
010350,AZUAY,GUALACEO,GUALACEO,"GUALACEO, GUALACEO, AZUAY, Ecuador",-2.886385,-78.7759559
010352,AZUAY,GUALACEO,DANIEL CÓRDOVA TORAL,"DANIEL CÓRDOVA TORAL, GUALACEO, AZUAY, Ecuador",-2.873255,-78.741783
010353,AZUAY,GUALACEO,JADÁN,"JADÁN, GUALACEO, AZUAY, Ecuador",-2.886385,-78.7759559
010354,AZUAY,GUALACEO,MARIANO MORENO,"MARIANO MORENO, GUALACEO, AZUAY, Ecuador",-2.886385,-78.7759559
010356,AZUAY,GUALACEO,REMIGIO CRESPO TORAL,"REMIGIO CRESPO TORAL, GUALACEO, AZUAY, Ecuador",-2.9854337,-78.68738189999999
010357,AZUAY,GUALACEO,SAN JUAN,"SAN JUAN, GUALACEO, AZUAY, Ecuador",-2.9703003,-78.8269385
010358,AZUAY,GUALACEO,ZHIDMAD,"ZHIDMAD, GUALACEO, AZUAY, Ecuador",-2.9511207,-78.8722341
010359,AZUAY,GUALACEO,LUIS CORDERO VEGA,"LUIS CORDERO VEGA, GUALACEO, AZUAY, Ecuador",-2.9490389,-78.6682395
010360,AZUAY,GUALACEO,SIMÓN BOLÍVAR,"SIMÓN BOLÍVAR, GUALACEO, AZUAY, Ecuador",-2.886385,-78.7759559
010450,AZUAY,NABÓN,NABÓN,"NABÓN, NABÓN, AZUAY, Ecuador",-3.3365341,-79.0630932
010451,AZUAY,NABÓN,COCHAPATA,"COCHAPATA, NABÓN, AZUAY, Ecuador",-3.388644,-79.082358
010452,AZUAY,NABÓN,EL PROGRESO,"EL PROGRESO, NABÓN, AZUAY, Ecuador",-3.3365341,-79.0630932
010453,AZUAY,NABÓN,LAS NIEVES,"LAS NIEVES, NABÓN, AZUAY, Ecuador",-3.340154,-79.115669
010550,AZUAY,PAUTE,PAUTE,"PAUTE, PAUTE, AZUAY, Ecuador",-2.7968383,-78.7673058
010552,AZUAY,PAUTE,BULÁN,"BULÁN, PAUTE, AZUAY, Ecuador",-2.7968383,-78.7673058
010553,AZUAY,PAUTE,CHICÁN,"CHICÁN, PAUTE, AZUAY, Ecuador",-2.8180926,-78.7598488
010554,AZUAY,PAUTE,EL CABO,"EL CABO, PAUTE, AZUAY, Ecuador",-2.8474155,-78.7986181
010556,AZUAY,PAUTE,GUARAINAG,"GUARAINAG, PAUTE, AZUAY, Ecuador",-2.6749006,-78.64554749999999
010559,AZUAY,PAUTE,SAN CRISTÓBAL,"SAN CRISTÓBAL, PAUTE, AZUAY, Ecuador",-2.8380646,-78.84392679999999
010561,AZUAY,PAUTE,TOMEBAMBA,"TOMEBAMBA, PAUTE, AZUAY, Ecuador",-2.739637,-78.678535
010562,AZUAY,PAUTE,DUG DUG,"DUG DUG, PAUTE, AZUAY, Ecuador",-2.7196181,-78.7306158
010650,AZUAY,PUCARÁ,PUCARÁ,"PUCARÁ, PUCARÁ, AZUAY, Ecuador",-3.2176823,-79.4698653
010652,AZUAY,PUCARÁ,SAN RAFAEL DE SHARUG,"SAN RAFAEL DE SHARUG, PUCARÁ, AZUAY, Ecuador",-3.2636935,-79.53786339999999
010750,AZUAY,SAN FERNANDO,SAN FERNANDO,"SAN FERNANDO, SAN FERNANDO, AZUAY, Ecuador",-3.1472731,-79.2524699
010751,AZUAY,SAN FERNANDO,CHUMBLÍN,"CHUMBLÍN, SAN FERNANDO, AZUAY, Ecuador",-3.1477429,-79.25239189999999
010850,AZUAY,SANTA ISABEL,SANTA ISABEL,"SANTA ISABEL, SANTA ISABEL, AZUAY, Ecuador",-3.2758197,-79.31437749999999
010851,AZUAY,SANTA ISABEL,ABDÓN CALDERÓN,"ABDÓN CALDERÓN, SANTA ISABEL, AZUAY, Ecuador",-3.2746382,-79.3145487
010852,AZUAY,SANTA ISABEL,EL CARMEN DE PIJILÍ,"EL CARMEN DE PIJILÍ, SANTA ISABEL, AZUAY, Ecuador",-2.9084767,-79.53786339999999
010853,AZUAY,SANTA ISABEL,SHAGLLI,"SHAGLLI, SANTA ISABEL, AZUAY, Ecuador",-3.1720449,-79.383049
010854,AZUAY,SANTA ISABEL,SAN SALVADOR DE CAÑARIBAMBA,"SAN SALVADOR DE CAÑARIBAMBA, SANTA ISABEL, AZUAY, Ecuador",-3.2322215,-79.3690831
010950,AZUAY,SÍGSIG,SÍGSIG,"SÍGSIG, SÍGSIG, AZUAY, Ecuador",-3.0510692,-78.7957856
010951,AZUAY,SÍGSIG,CUCHIL,"CUCHIL, SÍGSIG, AZUAY, Ecuador",-3.07774,-78.799095
010952,AZUAY,SÍGSIG,JIMA,"JIMA, SÍGSIG, AZUAY, Ecuador",-3.1799774,-79.001812
010953,AZUAY,SÍGSIG,GÜEL,"GÜEL, SÍGSIG, AZUAY, Ecuador",-3.0432446,-78.7532884
010954,AZUAY,SÍGSIG,LUDO,"LUDO, SÍGSIG, AZUAY, Ecuador",-3.083938,-78.89093799999999
010955,AZUAY,SÍGSIG,SAN BARTOLOMÉ,"SAN BARTOLOMÉ, SÍGSIG, AZUAY, Ecuador",-3.0098367,-78.8495889
010956,AZUAY,SÍGSIG,SAN JOSÉ DE RARANGA,"SAN JOSÉ DE RARANGA, SÍGSIG, AZUAY, Ecuador",-3.1289171,-78.9401383
011050,AZUAY,OÑA,SAN FELIPE DE OÑA,"SAN FELIPE DE OÑA, OÑA, AZUAY, Ecuador",-3.4575776,-79.1322744
011051,AZUAY,OÑA,SUSUDEL,"SUSUDEL, OÑA, AZUAY, Ecuador",-3.4054305,-79.18377459999999
011150,AZUAY,CHORDELEG,CHORDELEG,"CHORDELEG, CHORDELEG, AZUAY, Ecuador",-2.9280917,-78.7787889
011151,AZUAY,CHORDELEG,PRINCIPAL,"PRINCIPAL, CHORDELEG, AZUAY, Ecuador",-3.016667,-78.733333
011152,AZUAY,CHORDELEG,LA UNIÓN,"LA UNIÓN, CHORDELEG, AZUAY, Ecuador",-2.9450042,-78.7532884
011153,AZUAY,CHORDELEG,LUIS GALARZA ORELLANA,"LUIS GALARZA ORELLANA, CHORDELEG, AZUAY, Ecuador",-2.9936275,-78.70793809999999
011154,AZUAY,CHORDELEG,SAN MARTÍN DE PUZHIO,"SAN MARTÍN DE PUZHIO, CHORDELEG, AZUAY, Ecuador",-2.9743379,-78.74195279999999
011250,AZUAY,EL PAN,EL PAN,"EL PAN, EL PAN, AZUAY, Ecuador",-2.7861588,-78.6639852
011253,AZUAY,EL PAN,SAN VICENTE,"SAN VICENTE, EL PAN, AZUAY, Ecuador",-2.8604744,-78.6341996
011350,AZUAY,SEVILLA DE ORO,SEVILLA DE ORO,"SEVILLA DE ORO, SEVILLA DE ORO, AZUAY, Ecuador",-2.7982991,-78.6554759
011351,AZUAY,SEVILLA DE ORO,AMALUZA,"AMALUZA, SEVILLA DE ORO, AZUAY, Ecuador",-2.608876,-78.5651479
011352,AZUAY,SEVILLA DE ORO,PALMAS,"PALMAS, SEVILLA DE ORO, AZUAY, Ecuador",-2.718571,-78.630776
011450,AZUAY,GUACHAPALA,GUACHAPALA,"GUACHAPALA, GUACHAPALA, AZUAY, Ecuador",-2.7695439,-78.7150254
011550,AZUAY,CAMILO PONCE ENRÍQUEZ,CAMILO PONCE ENRÍQUEZ,"CAMILO PONCE ENRÍQUEZ, CAMILO PONCE ENRÍQUEZ, AZUAY, Ecuador",-3.06136,-79.7441844
020150,BOLÍVAR,GUARANDA,GUARANDA,"GUARANDA, GUARANDA, BOLÍVAR, Ecuador",-1.5911691,-78.99903789999999
020150,BOLÍVAR,GUARANDA,GUARANDA,"GUARANDA, GUARANDA, BOLÍVAR, Ecuador",-1.5911691,-78.99903789999999
020150,BOLÍVAR,GUARANDA,GUARANDA,"GUARANDA, GUARANDA, BOLÍVAR, Ecuador",-1.5911691,-78.99903789999999
020151,BOLÍVAR,GUARANDA,FACUNDO VELA,"FACUNDO VELA, GUARANDA, BOLÍVAR, Ecuador",-1.197173,-79.0560311
020153,BOLÍVAR,GUARANDA,JULIO E. MORENO,"JULIO E. MORENO, GUARANDA, BOLÍVAR, Ecuador",-1.5921627,-79.0327606
020155,BOLÍVAR,GUARANDA,SALINAS,"SALINAS, GUARANDA, BOLÍVAR, Ecuador",-1.4055343,-79.01912329999999
020156,BOLÍVAR,GUARANDA,SAN LORENZO,"SAN LORENZO, GUARANDA, BOLÍVAR, Ecuador",-1.6926724,-78.9401383
020157,BOLÍVAR,GUARANDA,SAN SIMÓN,"SAN SIMÓN, GUARANDA, BOLÍVAR, Ecuador",-1.5911691,-78.99903789999999
020158,BOLÍVAR,GUARANDA,SANTA FE,"SANTA FE, GUARANDA, BOLÍVAR, Ecuador",-1.6093318,-79.0046339
020159,BOLÍVAR,GUARANDA,SIMIÁTUG,"SIMIÁTUG, GUARANDA, BOLÍVAR, Ecuador",-1.3005148,-78.9146798
020160,BOLÍVAR,GUARANDA,SAN LUIS DE PAMBIL,"SAN LUIS DE PAMBIL, GUARANDA, BOLÍVAR, Ecuador",-1.2342089,-79.23904399999999
020250,BOLÍVAR,CHILLANES,CHILLANES,"CHILLANES, CHILLANES, BOLÍVAR, Ecuador",-1.9436802,-79.0659179
020251,BOLÍVAR,CHILLANES,SAN JOSÉ DEL TAMBO,"SAN JOSÉ DEL TAMBO, CHILLANES, BOLÍVAR, Ecuador",-1.956382,-79.234672
020350,BOLÍVAR,CHIMBO,SAN JOSÉ DE CHIMBO,"SAN JOSÉ DE CHIMBO, CHIMBO, BOLÍVAR, Ecuador",-1.6809765,-79.02834829999999
020351,BOLÍVAR,CHIMBO,ASUNCIÓN,"ASUNCIÓN, CHIMBO, BOLÍVAR, Ecuador",-1.640849,-79.058856
020353,BOLÍVAR,CHIMBO,LA MAGDALENA,"LA MAGDALENA, CHIMBO, BOLÍVAR, Ecuador",-1.6683105,-79.0630932
020354,BOLÍVAR,CHIMBO,SAN SEBASTIÁN,"SAN SEBASTIÁN, CHIMBO, BOLÍVAR, Ecuador",-1.6861421,-79.050381
020355,BOLÍVAR,CHIMBO,TELIMBELA,"TELIMBELA, CHIMBO, BOLÍVAR, Ecuador",-1.65,-79.16666699999999
020450,BOLÍVAR,ECHEANDÍA,ECHEANDÍA,"ECHEANDÍA, ECHEANDÍA, BOLÍVAR, Ecuador",-1.43232,-79.27918
020550,BOLÍVAR,SAN MIGUEL,SAN MIGUEL,"SAN MIGUEL, SAN MIGUEL, BOLÍVAR, Ecuador",-1.7171101,-79.03625439999999
020551,BOLÍVAR,SAN MIGUEL,BALSAPAMBA,"BALSAPAMBA, SAN MIGUEL, BOLÍVAR, Ecuador",-1.7171101,-79.03625439999999
020552,BOLÍVAR,SAN MIGUEL,BILOVÁN,"BILOVÁN, SAN MIGUEL, BOLÍVAR, Ecuador",-1.7171101,-79.03625439999999
020553,BOLÍVAR,SAN MIGUEL,RÉGULO DE MORA,"RÉGULO DE MORA, SAN MIGUEL, BOLÍVAR, Ecuador",-1.7088093,-79.0469172
020554,BOLÍVAR,SAN MIGUEL,SAN PABLO,"SAN PABLO, SAN MIGUEL, BOLÍVAR, Ecuador",-1.8165764,-79.0687425
020555,BOLÍVAR,SAN MIGUEL,SANTIAGO,"SANTIAGO, SAN MIGUEL, BOLÍVAR, Ecuador",-1.749866,-78.9175088
020556,BOLÍVAR,SAN MIGUEL,SAN VICENTE,"SAN VICENTE, SAN MIGUEL, BOLÍVAR, Ecuador",-1.7171101,-79.03625439999999
020650,BOLÍVAR,CALUMA,CALUMA,"CALUMA, CALUMA, BOLÍVAR, Ecuador",-1.6312012,-79.257801
020750,BOLÍVAR,LAS NAVES,LAS NAVES,"LAS NAVES, LAS NAVES, BOLÍVAR, Ecuador",-1.2863062,-79.314894
020750,BOLÍVAR,LAS NAVES,LAS NAVES,"LAS NAVES, LAS NAVES, BOLÍVAR, Ecuador",-1.2863062,-79.314894
030150,CAÑAR,AZOGUES,AZOGUES,"AZOGUES, AZOGUES, CAÑAR, Ecuador",-2.7409471,-78.8488227
030150,CAÑAR,AZOGUES,AZOGUES,"AZOGUES, AZOGUES, CAÑAR, Ecuador",-2.7409471,-78.8488227
030150,CAÑAR,AZOGUES,AZOGUES,"AZOGUES, AZOGUES, CAÑAR, Ecuador",-2.7409471,-78.8488227
030150,CAÑAR,AZOGUES,AZOGUES,"AZOGUES, AZOGUES, CAÑAR, Ecuador",-2.7409471,-78.8488227
030151,CAÑAR,AZOGUES,COJITAMBO,"COJITAMBO, AZOGUES, CAÑAR, Ecuador",-2.759463,-78.88426199999999
030153,CAÑAR,AZOGUES,GUAPÁN,"GUAPÁN, AZOGUES, CAÑAR, Ecuador",-2.7409471,-78.8488227
030154,CAÑAR,AZOGUES,JAVIER LOYOLA,"JAVIER LOYOLA, AZOGUES, CAÑAR, Ecuador",-2.814077,-78.8948741
030155,CAÑAR,AZOGUES,LUIS CORDERO,"LUIS CORDERO, AZOGUES, CAÑAR, Ecuador",-2.7412799,-78.8479096
030156,CAÑAR,AZOGUES,PINDILIG,"PINDILIG, AZOGUES, CAÑAR, Ecuador",-2.5975567,-78.713608
030157,CAÑAR,AZOGUES,RIVERA,"RIVERA, AZOGUES, CAÑAR, Ecuador",-2.7399623,-78.8473705
030158,CAÑAR,AZOGUES,SAN MIGUEL,"SAN MIGUEL, AZOGUES, CAÑAR, Ecuador",-2.7989043,-78.84392679999999
030160,CAÑAR,AZOGUES,TADAY,"TADAY, AZOGUES, CAÑAR, Ecuador",-2.6405792,-78.6902175
030250,CAÑAR,BIBLIÁN,BIBLIÁN,"BIBLIÁN, BIBLIÁN, CAÑAR, Ecuador",-2.7137878,-78.88924089999999
030251,CAÑAR,BIBLIÁN,NAZÓN,"NAZÓN, BIBLIÁN, CAÑAR, Ecuador",-2.6928391,-79.002342
030252,CAÑAR,BIBLIÁN,SAN FRANCISCO DE SAGEO,"SAN FRANCISCO DE SAGEO, BIBLIÁN, CAÑAR, Ecuador",-2.7136464,-78.8750644
030253,CAÑAR,BIBLIÁN,TURUPAMBA,"TURUPAMBA, BIBLIÁN, CAÑAR, Ecuador",-2.7286191,-78.9090214
030254,CAÑAR,BIBLIÁN,JERUSALÉN,"JERUSALÉN, BIBLIÁN, CAÑAR, Ecuador",-2.6583052,-78.9627624
030350,CAÑAR,CAÑAR,CAÑAR,"CAÑAR, CAÑAR, CAÑAR, Ecuador",-2.5589315,-78.9388191
030351,CAÑAR,CAÑAR,CHONTAMARCA,"CHONTAMARCA, CAÑAR, CAÑAR, Ecuador",-2.558941,-78.93882599999999
030352,CAÑAR,CAÑAR,CHOROCOPTE,"CHOROCOPTE, CAÑAR, CAÑAR, Ecuador",-2.555695,-78.9344814
030353,CAÑAR,CAÑAR,GENERAL MORALES,"GENERAL MORALES, CAÑAR, CAÑAR, Ecuador",-2.407562,-79.0228322
030354,CAÑAR,CAÑAR,GUALLETURO,"GUALLETURO, CAÑAR, CAÑAR, Ecuador",-2.5911257,-79.08710049999999
030355,CAÑAR,CAÑAR,HONORATO VÁSQUEZ,"HONORATO VÁSQUEZ, CAÑAR, CAÑAR, Ecuador",-2.5846161,-78.90053329999999
030356,CAÑAR,CAÑAR,INGAPIRCA,"INGAPIRCA, CAÑAR, CAÑAR, Ecuador",-2.555695,-78.9344814
030357,CAÑAR,CAÑAR,JUNCAL,"JUNCAL, CAÑAR, CAÑAR, Ecuador",-2.558941,-78.93882599999999
030358,CAÑAR,CAÑAR,SAN ANTONIO,"SAN ANTONIO, CAÑAR, CAÑAR, Ecuador",-2.5694617,-78.9430895
030361,CAÑAR,CAÑAR,ZHUD,"ZHUD, CAÑAR, CAÑAR, Ecuador",-2.4602217,-79.0037552
030362,CAÑAR,CAÑAR,VENTURA,"VENTURA, CAÑAR, CAÑAR, Ecuador",-2.2805588,-79.1322744
030363,CAÑAR,CAÑAR,DUCUR,"DUCUR, CAÑAR, CAÑAR, Ecuador",-2.4623389,-79.11251349999999
030450,CAÑAR,LA TRONCAL,LA TRONCAL,"LA TRONCAL, LA TRONCAL, CAÑAR, Ecuador",-2.4204637,-79.34373939999999
030451,CAÑAR,LA TRONCAL,MANUEL J. CALLE,"MANUEL J. CALLE, LA TRONCAL, CAÑAR, Ecuador",-2.356563,-79.3995209
030452,CAÑAR,LA TRONCAL,PANCHO NEGRO,"PANCHO NEGRO, LA TRONCAL, CAÑAR, Ecuador",-2.4768709,-79.4028639
030550,CAÑAR,EL TAMBO,EL TAMBO,"EL TAMBO, EL TAMBO, CAÑAR, Ecuador",-2.510554,-78.9283385
030650,CAÑAR,DÉLEG,DÉLEG,"DÉLEG, DÉLEG, CAÑAR, Ecuador",-2.7720702,-78.9200291
030651,CAÑAR,DÉLEG,SOLANO,"SOLANO, DÉLEG, CAÑAR, Ecuador",-2.8095618,-78.9344814
030750,CAÑAR,SUSCAL,SUSCAL,"SUSCAL, SUSCAL, CAÑAR, Ecuador",-2.4363267,-79.0517936
040150,CARCHI,TULCÁN,TULCÁN,"TULCÁN, TULCÁN, CARCHI, Ecuador",0.8150687,-77.71659249999999
040150,CARCHI,TULCÁN,TULCÁN,"TULCÁN, TULCÁN, CARCHI, Ecuador",0.8150687,-77.71659249999999
040151,CARCHI,TULCÁN,EL CARMELO,"EL CARMELO, TULCÁN, CARCHI, Ecuador",0.669866,-77.59120899999999
040153,CARCHI,TULCÁN,JULIO ANDRADE,"JULIO ANDRADE, TULCÁN, CARCHI, Ecuador",0.798749,-77.7408216
040154,CARCHI,TULCÁN,MALDONADO,"MALDONADO, TULCÁN, CARCHI, Ecuador",0.8102007,-77.7162994
040155,CARCHI,TULCÁN,PIOTER,"PIOTER, TULCÁN, CARCHI, Ecuador",0.65,-77.783333
040156,CARCHI,TULCÁN,TOBAR DONOSO,"TOBAR DONOSO, TULCÁN, CARCHI, Ecuador",1.189761,-78.50508099999999
040157,CARCHI,TULCÁN,TUFIÑO,"TUFIÑO, TULCÁN, CARCHI, Ecuador",0.8003671,-77.8553089
040158,CARCHI,TULCÁN,URBINA,"URBINA, TULCÁN, CARCHI, Ecuador",0.789114,-77.68004719999999
040159,CARCHI,TULCÁN,EL CHICAL,"EL CHICAL, TULCÁN, CARCHI, Ecuador",0.9802873,-78.2703951
040161,CARCHI,TULCÁN,SANTA MARTHA DE CUBA,"SANTA MARTHA DE CUBA, TULCÁN, CARCHI, Ecuador",0.6480092,-77.7623739
040250,CARCHI,BOLÍVAR,BOLÍVAR,"BOLÍVAR, BOLÍVAR, CARCHI, Ecuador",0.5014538,-77.90364029999999
